,x,y,label_num,label_name,path
0,-38.60246105048287,-49.94893374985033,1,Claps,./data\Glockley (Shows The Screen) Drumkit\Claps\Clap + Snare (27).wav
1,5.446414507521344,34.32963570951183,1,Claps,./data\Glockley (Shows The Screen) Drumkit\Claps\Clap + Snare (71).wav
2,9.512992475622509,-0.4004741396430878,9,Snares,./data\Everyone in 808 Mafia (Shows the Screen) Kit\Snares\LT Snare (4).wav
3,-18.909665819496645,-6.267644267843344,4,Extras,./data\Everyone in 808 Mafia (Shows the Screen) Kit\Extras\Trumpets Brass Horns.wav
4,-62.77683180400582,-43.77149491578045,9,Snares,./data\Glockley (Shows The Screen) Drumkit\Snares\Snare (11).wav
5,29.26056569945179,-42.049735536003254,0,808s,./data\Glockley (Shows The Screen) Drumkit\808s\808 (1).wav
6,-56.37782330124356,-27.20211103049853,1,Claps,./data\Kenny Beats (Shows the Screen) Drumkit\Claps\KENNY BEATS CLAP 15.wav
7,-68.53037023231506,-6.359583761029734,5,FX,./data\Everyone in 808 Mafia (Shows the Screen) Kit\FX\Default.wav
8,75.24841592349048,39.95324750683815,2,Closed Hats,./data\Glockley (Shows The Screen) Drumkit\Closed Hats\Glockley Double Up Hi Hat.wav
9,-79.22081540259343,-15.518670316089247,10,Vox,./data\Everyone in 808 Mafia (Shows the Screen) Kit\Vox\[ACD] - 9PieceScream.wav
10,-55.053153338009004,57.9342458120022,3,Crashes & Cymbals,./data\Everyone in 808 Mafia (Shows the Screen) Kit\Crashes & Cymbals\Cym (OG-Trap).wav
11,21.923527836755458,-58.66199107361777,0,808s,./data\Everyone in 808 Mafia (Shows the Screen) Kit\808s\LATE NIGHT 808.wav
12,21.45086299109076,-48.813169169640474,6,Kicks,./data\Mike Will Made It & Eardrummers (Shows the Screen) Drumkit\Kicks\CTS_Kick11.WAV
13,-21.156570938747517,-95.01747667299115,8,Percs,./data\Everyone in 808 Mafia (Shows the Screen) Kit\Percs\Carti Perc.wav
14,14.146656966033994,98.80887524480762,6,Kicks,./data\Mike Will Made It & Eardrummers (Shows the Screen) Drumkit\Kicks\Rack Kick1.wav
15,-36.2965687987089,-4.933863442468473,4,Extras,./data\Glockley (Shows The Screen) Drumkit\Extras\Glockley Sample (68).wav
16,-48.67778412939808,-16.404513432204926,5,FX,./data\Kenny Beats (Shows the Screen) Drumkit\FX\KENNY BEATS FX 35.wav
17,-41.53001308113083,-15.0213206829959,5,FX,./data\Everyone in 808 Mafia (Shows the Screen) Kit\FX\BWB UPGRADE3 FX (4).wav
18,-55.63852067325637,-57.06268419747322,5,FX,./data\Everyone in 808 Mafia (Shows the Screen) Kit\FX\[ACD] - Trap Bell.wav
19,-83.71082426830264,26.633044257120087,5,FX,./data\London on da Track (Shows the Screen) Drumkit\FX\Riser 3 (Drumma Boy).wav
20,77.99778927627236,-64.12843952348732,0,808s,./data\Mike Will Made It & Eardrummers (Shows the Screen) Drumkit\808s\Ducko_808_loop_04.wav
21,-3.871593637239059,-34.83526697461626,1,Claps,./data\Nick Mira (Shows the Screen) Drumkit Re-Up to respect DMCA\Claps\DT - Gatsby (Clap).wav
22,-87.2747968080839,30.977954972104616,5,FX,./data\Everyone in 808 Mafia (Shows the Screen) Kit\FX\Lex Luger FX 1.wav
23,-93.94250625500906,33.84849326922723,5,FX,./data\Nick Mira (Shows the Screen) Drumkit Re-Up to respect DMCA\FX\NM - Signature FX.wav
24,1.5403275720680194,-37.98336311815682,1,Claps,./data\Everyone in 808 Mafia (Shows the Screen) Kit\Claps\ShortClap.wav
25,-73.6554883867981,11.589398483575948,10,Vox,./data\Everyone in 808 Mafia (Shows the Screen) Kit\Vox\Chants (1).wav
26,8.432125039057663,22.352053751674934,9,Snares,./data\Glockley (Shows The Screen) Drumkit\Snares\Glockley Snare (3).wav
27,26.503985930561953,16.044104582819724,9,Snares,./data\Nick Mira (Shows the Screen) Drumkit Re-Up to respect DMCA\Snares\It's Lit!_2.wav
